State,Year,mme,quantity,population,Deaths,deaths_percap,mme_percap
MO,2004,,,,292.0,,
MO,2005,,,,332.0,,
MO,2006,1413255.8637241963,909429.0,5836235.0,433.0,7.419166637395513e-05,0.24215198046757822
MO,2007,1599297.403531725,1032090.0,5870934.0,406.0,6.915424360076267e-05,0.27240936510812847
MO,2008,1771109.5862624827,1152256.0,5903133.0,459.0,7.775532077627253e-05,0.3000287451193261
MO,2009,1917564.735307061,1318099.0,5886545.0,546.0,9.275389893392473e-05,0.325753856516354
MO,2010,2124869.1689703176,1520367.0,5903692.0,647.0,0.00010959243808789484,0.35992209095093675
MO,2011,2309354.0777419535,1749240.0,5937120.0,620.0,0.00010442773600668337,0.388968738671604
MO,2012,2474203.6648461735,1814358.0,5967818.0,574.0,9.618255784610054e-05,0.4145910054304896
MO,2013,,,,622.0,,
MO,2014,,,,730.0,,
MO,2015,,,,718.0,,
MS,2003,,,,63.0,,
MS,2004,,,,88.0,,
MS,2005,,,,90.0,,
MS,2006,649439.5711204447,461344.0,2903329.0,140.0,4.822050825104561e-05,0.22368790141263517
MS,2007,739983.4354538089,516720.0,2926798.0,112.0,3.826707548658978e-05,0.2528303748512227
MS,2008,813553.5993726014,565813.0,2946285.0,106.0,3.5977510661731635e-05,0.27612861599356525
MS,2009,908228.9742380533,635637.0,2920110.0,98.0,3.356037957474205e-05,0.31102560322660905
MS,2010,1007414.531860081,705831.0,2940098.0,121.0,4.1155090748675726e-05,0.34264658248129176
MS,2011,1123638.8402240602,788497.0,2954875.0,105.0,3.553449807521469e-05,0.3802661162397936
MS,2012,1206210.7110997883,839163.0,2966064.0,104.0,3.506330274734463e-05,0.4066704936575166
MS,2013,,,,121.0,,
MS,2014,,,,114.0,,
MS,2015,,,,123.0,,
MT,2003,,,,22.0,,
MT,2005,,,,12.0,,
MT,2006,264544.3252195336,163618.0,940343.0,10.0,1.0634417441295357e-05,0.2813274786110319
MT,2007,287907.5401743586,175236.0,952325.0,20.0,2.1001233822487073e-05,0.30232067852293976
MT,2008,320654.78962598334,194193.0,964107.0,34.0,3.526579518663385e-05,0.33259253342832623
MT,2009,340480.2256487325,214271.0,946147.0,35.0,3.699213758538578e-05,0.35985975292288885
MT,2010,366597.54408274696,247938.0,964206.0,29.0,3.0076560403067394e-05,0.3802066613179621
MT,2011,382157.125773835,272980.0,974289.0,15.0,1.5395842506689492e-05,0.3922420614148728
MT,2012,403679.2237368828,275540.0,983752.0,36.0,3.659458888012426e-05,0.4103465342249701
MT,2013,,,,62.0,,
MT,2014,,,,24.0,,
MT,2015,,,,41.0,,
NC,2003,,,,375.0,,
NC,2004,,,,446.0,,
NC,2005,,,,616.0,,
NC,2006,2474345.426316676,1750743.0,8902328.0,653.0,7.33515997163888e-05,0.2779436374751274
NC,2007,2842138.8727327385,2002461.0,9102828.0,600.0,6.591358202088406e-05,0.3122259228376872
NC,2008,3056070.4616307234,2172107.0,9293883.0,770.0,8.285019297101115e-05,0.3288260097131332
NC,2009,3502002.840836255,2442414.0,9031074.0,745.0,8.249295709458255e-05,0.3877725773076663
NC,2010,3759240.7277813614,2644536.0,9255738.0,705.0,7.616896675338044e-05,0.40615245675508116
NC,2011,4054551.973785868,2941228.0,9403115.0,887.0,9.433044262459834e-05,0.4311924265294924
NC,2012,4361371.713808107,3030175.0,9528474.0,827.0,8.67924916413688e-05,0.4577198524976935
NC,2013,,,,821.0,,
NC,2014,,,,897.0,,
NC,2015,,,,1126.0,,
ND,2006,83540.76203133876,55649.0,636490.0,,,0.13125227738273776
ND,2007,97772.42466172652,71628.0,640066.0,,,0.15275366081267638
ND,2008,102854.16929400171,73667.0,644950.0,,,0.15947619085820872
ND,2009,107166.70305660168,75944.0,627066.0,,,0.17090179192716823
ND,2010,110235.07444511425,79338.0,647087.0,,,0.1703558786455519
ND,2011,128806.96878480185,101384.0,654038.0,,,0.1969411085973626
ND,2012,140642.10152925132,103799.0,663310.0,,,0.21203072700434386
ND,2014,,,,10.0,,
NE,2004,,,,13.0,,
NE,2005,,,,27.0,,
NE,2006,297981.51452865516,221012.0,1740466.0,41.0,2.355690947137146e-05,0.17120789175350462
NE,2007,301849.7095534328,233139.0,1758695.0,43.0,2.444994726203236e-05,0.17163277859630738
NE,2008,321681.8467574955,253222.0,1772005.0,40.0,2.2573299736738893e-05,0.18153551866811635
NE,2009,338005.0361960828,280993.0,1747613.0,46.0,2.6321616971263088e-05,0.19340954558937407
NE,2010,353822.0675744457,304792.0,1774022.0,46.0,2.5929779901263906e-05,0.1994462681829457
NE,2011,368777.60482314543,344047.0,1788125.0,70.0,3.914715134568333e-05,0.20623703869871818
NE,2012,384044.89318940596,330165.0,1802664.0,75.0,4.160509113179161e-05,0.2130429703979255
NE,2013,,,,45.0,,
NE,2014,,,,67.0,,
NE,2015,,,,59.0,,
NH,2003,,,,68.0,,
NH,2004,,,,77.0,,
NH,2005,,,,88.0,,
NH,2006,364258.38270929374,223179.0,1308389.0,75.0,5.732240182392239e-05,0.27840220508525654
NH,2007,429175.03557547077,255045.0,1312540.0,149.0,0.0001135203498560044,0.32698053817443334
NH,2008,480561.28714376944,275671.0,1315906.0,64.0,4.863569282304359e-05,0.36519423662766903
NH,2009,540118.1286530715,299485.0,1315419.0,87.0,6.613862199040762e-05,0.41060538782933154
NH,2010,566309.7529796653,324339.0,1313939.0,92.0,7.001847117712467e-05,0.4310015556122965
NH,2011,568808.7208084515,343931.0,1315911.0,138.0,0.00010487031417778254,0.43225470476989064
NH,2012,578877.7749666749,351080.0,1317474.0,115.0,8.728825009070388e-05,0.43938459124557666
NH,2013,,,,142.0,,
NH,2014,,,,281.0,,
NH,2015,,,,369.0,,
NJ,2003,,,,618.0,,
NJ,2004,,,,479.0,,
NJ,2005,,,,700.0,,
NJ,2006,2517700.222565798,1258194.0,8661679.0,743.0,8.578013569886392e-05,0.2906711530831145
NJ,2007,2818946.3760691737,1467550.0,8677885.0,634.0,7.305927654030908e-05,0.3248425596869714
NJ,2008,3199723.4527402185,1633125.0,8711090.0,574.0,6.589301683256631e-05,0.3673160824581331
NJ,2009,3594813.7584358626,1667132.0,8650548.0,160.0,1.849593806080262e-05,0.41555907885094245
NJ,2010,4019398.7673665937,1818272.0,8721577.0,753.0,8.633759697357485e-05,0.4608568802828426
NJ,2011,4378115.417466757,1997170.0,8753064.0,894.0,0.0001021356635802046,0.5001808986506618
NJ,2012,4143796.6401205203,1919381.0,8793888.0,1122.0,0.0001275886160933594,0.4712132608603294
NJ,2013,,,,1203.0,,
NJ,2014,,,,1126.0,,
NJ,2015,,,,1360.0,,
NM,2003,,,,257.0,,
NM,2004,,,,210.0,,
NM,2005,,,,261.0,,
NM,2006,469454.4931834097,316581.0,1952823.0,305.0,0.00015618414981798145,0.24039787179043348
NM,2007,553509.2618650784,368256.0,1980736.0,307.0,0.0001549928915312288,0.279446257282686
NM,2008,636223.5221121575,426914.0,2005063.0,375.0,0.00018702654230814692,0.31730849460199384
NM,2009,747473.8943141699,489088.0,1954184.0,322.0,0.00016477465786230978,0.38249923974107347
